id;is_eligible;note;created_date;last_updated_date;client_id;has_extra_data
1;false;payment;2021-01-13T14:51:25;2021-01-14T04:42:51;30569;true
2;false;deposit;2021-01-13T22:27:48;2021-01-13T19:08:58;70614;true
3;true;Sports;2021-01-13T13:20:02;2021-01-14T05:02:07;81167;true
4;false;Louisiana Antarctica (the territory South of 60 deg S) hybrid;2021-01-14T07:22:13;2021-01-13T12:42:39;43618;false
5;true;RAM;2021-01-13T14:01:49;2021-01-14T11:08:01;77096;true
6;true;Optimization Illinois;2021-01-14T09:28:35;2021-01-13T15:29:38;64632;false
7;false;protocol Mountains Cheese;2021-01-13T21:58:00;2021-01-13T17:28:37;61779;false
8;false;Unbranded;2021-01-13T23:39:20;2021-01-13T12:16:55;3659;false
9;true;navigating;2021-01-14T01:58:31;2021-01-14T09:20:28;74326;true
10;false;Reactive Shoes;2021-01-14T02:42:27;2021-01-14T01:55:32;45678;true
