id;latitude;longitude;created_date;last_updated_date;client_id;has_extra_data
1;80800;42917;2021-01-13T14:22:19;2021-01-13T11:59:36;17173;false
2;29708;10253;2021-01-13T17:21:22;2021-01-13T16:35:24;73718;true
3;93761;63891;2021-01-14T00:07:41;2021-01-14T07:01:06;3719;false
4;68463;42266;2021-01-13T22:58:26;2021-01-14T07:28:15;92573;true
5;83962;49004;2021-01-14T08:59:41;2021-01-13T21:15:06;11678;true
6;40977;74947;2021-01-13T17:14:49;2021-01-13T19:36:24;66331;true
7;79806;43317;2021-01-13T18:56:12;2021-01-14T09:56:54;47785;false
8;60943;30383;2021-01-13T19:32:25;2021-01-13T11:45:02;84436;true
9;4540;56012;2021-01-14T01:12:42;2021-01-13T18:53:23;9673;true
10;31151;40040;2021-01-13T21:04:54;2021-01-13T18:10:34;15098;false
